MinuteUTC,Open,High,Low,Close,NumTicks,Completed
2025-08-27T21:59:00+00:00,1.163755,1.163755,1.163755,1.163755,1,0
2025-08-27T21:59:00+00:00,1.163755,1.163755,1.163735,1.163735,2,0
2025-08-27T21:59:00+00:00,1.163755,1.163755,1.16373,1.16373,3,0
2025-08-27T21:59:00+00:00,1.163755,1.163755,1.16373,1.16373,4,0
2025-08-27T21:59:00+00:00,1.163755,1.163755,1.16373,1.16373,5,0
2025-08-27T21:59:00+00:00,1.163755,1.163755,1.16373,1.16373,6,0
2025-08-27T21:59:00+00:00,1.163755,1.163755,1.16373,1.163745,7,0
2025-08-27T21:59:00+00:00,1.163755,1.163755,1.16373,1.163745,8,0
2025-08-27T21:59:00+00:00,1.163755,1.163755,1.16373,1.16374,9,0
2025-08-27T21:59:00+00:00,1.163755,1.163755,1.16373,1.16374,9,1
2025-08-27T22:00:00+00:00,1.16379,1.16379,1.16379,1.16379,1,0
2025-08-27T22:00:00+00:00,1.16379,1.1638199999999999,1.16379,1.1638199999999999,2,0
2025-08-27T22:00:00+00:00,1.16379,1.163865,1.16379,1.163865,3,0
2025-08-27T22:00:00+00:00,1.16379,1.163865,1.16379,1.163865,4,0
2025-08-27T22:00:00+00:00,1.16379,1.163885,1.16379,1.163885,5,0
2025-08-27T22:00:00+00:00,1.16379,1.163885,1.16379,1.16387,6,0
2025-08-27T22:00:00+00:00,1.16379,1.163885,1.16379,1.163875,7,0
2025-08-27T22:00:00+00:00,1.16379,1.163885,1.16379,1.16387,8,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.1639249999999999,9,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.1638950000000001,10,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.1638950000000001,11,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.1638899999999999,12,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.1638899999999999,13,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.1638899999999999,14,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.1638899999999999,15,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.163905,16,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.163905,17,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.163905,18,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.163905,19,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.163905,20,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.163905,21,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.163905,22,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.163905,23,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.16391,24,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.163915,25,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.16392,26,0
2025-08-27T22:00:00+00:00,1.16379,1.1639249999999999,1.16379,1.16392,27,0
